Player,Game,Points (Pts*),Passing Attempts (Att),Passing Completions (Cmp),Passing Yards (Yds),Touchdown Passes (TD),Passes Intercepted (Int),Passing Conversions (2Pt),Rushing Attempts (Att),Rushing Yards (Yds),Rushing Touchdowns (TD),Rushing Conversions (2Pt),Receptions (Rec),Receiving Yards (Yds),Touchdown Receptions (TD),Receiving Conversions (2Pt),Fumbles Lost (FL),Offensive Fumble Recovery Touchdowns (TD)
Christian McCaffreyC. McCaffrey,SF@ARI,41.00,0,0,0,0,0,0,18,115,1,0,5,72,2,0,0,0
James CookJ. Cook,DAL@BUF,35.00,0,0,0,0,0,0,25,179,1,0,2,42,1,0,0,0
Kyren WilliamsK. Williams,WAS@LA,26.00,0,0,0,0,0,0,27,152,1,1,5,3,0,0,2,0
Ty ChandlerT. Chandler,MIN@CIN,24.00,0,0,0,0,0,0,23,132,1,0,3,25,0,0,0,0
Jahmyr GibbsJ. Gibbs,DEN@DET,24.00,0,0,0,0,0,0,11,100,1,0,2,8,1,0,0,0
Rachaad WhiteR. White,TB@GB,21.00,0,0,0,0,0,0,21,89,0,0,2,50,1,0,0,0
Devin SingletaryD. Singletary,HOU@TEN,20.00,0,0,0,0,0,0,26,121,0,0,4,49,0,0,0,0
Clyde Edwards-HelaireC. Edwards-Helaire,KC@NE,19.00,0,0,0,0,0,0,13,37,0,0,4,64,1,0,0,0
Kenneth WalkerK. Walker,PHI@SEA,19.00,0,0,0,0,0,0,19,86,1,0,3,26,0,0,0,0
Raheem MostertR. Mostert,NYJ@MIA,18.00,0,0,0,0,0,0,15,42,2,0,2,1,0,0,0,0
James ConnerJ. Conner,SF@ARI,17.00,0,0,0,0,0,0,14,86,1,0,3,3,0,0,0,0
Jerick McKinnonJ. McKinnon,KC@NE,17.00,1,1,4,1,0,0,4,11,0,0,3,19,1,0,0,0
Zamir WhiteZ. White,LAC@LV,16.00,0,0,0,0,0,0,17,69,1,0,3,16,0,0,0,0
Alvin KamaraA. Kamara,NYG@NO,15.00,0,0,0,0,0,0,16,66,0,0,5,44,0,0,0,0
Joe MixonJ. Mixon,MIN@CIN,14.00,0,0,0,0,0,0,10,47,1,0,3,14,0,0,0,0
Emari DemercadoE. Demercado,SF@ARI,13.00,0,0,0,0,0,0,4,64,1,0,1,6,0,0,0,0
Gus EdwardsG. Edwards,BAL@JAX,13.00,0,0,0,0,0,0,16,58,1,0,1,11,0,0,0,0
Zack MossZ. Moss,PIT@IND,12.00,0,0,0,0,0,0,4,13,0,0,3,20,1,0,0,0
Chuba HubbardC. Hubbard,ATL@CAR,11.00,0,0,0,0,0,0,22,87,0,0,2,16,0,0,0,0
Jaylen WarrenJ. Warren,PIT@IND,11.00,0,0,0,0,0,0,10,40,0,0,5,28,0,0,0,0
Aaron JonesA. Jones,TB@GB,10.00,0,0,0,0,0,0,13,53,0,0,4,16,0,0,0,0
Keaton MitchellK. Mitchell,BAL@JAX,10.00,0,0,0,0,0,0,9,73,0,0,2,15,0,0,0,0
David MontgomeryD. Montgomery,DEN@DET,10.00,0,0,0,0,0,0,17,85,0,0,2,-3,0,0,0,0
De'Von AchaneD. Achane,NYJ@MIA,9.00,0,0,0,0,0,0,9,32,0,0,3,30,0,0,0,0
Ezekiel ElliottE. Elliott,KC@NE,9.00,0,0,0,0,0,0,11,25,0,0,5,21,0,0,0,0
Travis EtienneT. Etienne,BAL@JAX,9.00,0,0,0,0,0,0,10,31,0,0,4,28,0,0,0,0
Tyler GoodsonT. Goodson,PIT@IND,9.00,0,0,0,0,0,0,11,69,0,0,2,10,0,0,0,0
Roschon JohnsonR. Johnson,CHI@CLE,9.00,0,0,0,0,0,0,5,36,0,0,4,24,0,0,0,0
D'Andre SwiftD. Swift,PHI@SEA,9.00,0,0,0,0,0,0,18,74,0,0,2,1,0,0,0,0
Brandon BoldenB. Bolden,LAC@LV,8.00,0,0,0,0,0,0,2,25,1,0,0,0,0,0,0,0
Antonio GibsonA. Gibson,WAS@LA,8.00,0,0,0,0,0,0,4,15,0,0,5,20,0,0,0,0
Kevin HarrisK. Harris,KC@NE,8.00,0,0,0,0,0,0,4,25,1,0,0,0,0,0,0,0
Trey SermonT. Sermon,PIT@IND,8.00,0,0,0,0,0,0,17,88,0,0,0,0,0,0,0,0
Chase BrownC. Brown,MIN@CIN,7.00,0,0,0,0,0,0,7,23,0,0,3,28,0,0,0,0
Jerome FordJ. Ford,CHI@CLE,7.00,0,0,0,0,0,0,8,20,0,0,4,11,0,0,0,0
Latavius MurrayL. Murray,DAL@BUF,7.00,0,0,0,0,0,0,5,11,1,0,0,0,0,0,0,0
Cordarrelle PattersonC. Patterson,ATL@CAR,7.00,0,0,0,0,0,0,5,-2,0,0,1,2,1,0,0,0
Tony PollardT. Pollard,DAL@BUF,7.00,0,0,0,0,0,0,11,52,0,0,2,5,0,0,0,0
Ameer AbdullahA. Abdullah,LAC@LV,6.00,0,0,0,0,0,0,6,32,0,0,2,13,0,0,0,0
Michael CarterM. Carter,SF@ARI,6.00,0,0,0,0,0,0,3,27,0,0,3,10,0,0,0,0
Austin EkelerA. Ekeler,LAC@LV,6.00,0,0,0,0,0,0,5,9,0,0,4,29,0,0,0,0
Ty JohnsonT. Johnson,DAL@BUF,6.00,0,0,0,0,0,0,9,54,0,0,1,4,0,0,0,0
Tyler AllgeierT. Allgeier,ATL@CAR,5.00,0,0,0,0,0,0,14,45,0,0,1,6,0,0,0,0
Saquon BarkleyS. Barkley,NYG@NO,5.00,0,0,0,0,0,0,9,14,0,0,2,23,0,0,0,0
Samaje PerineS. Perine,DEN@DET,5.00,0,0,0,0,0,0,6,37,0,0,1,11,0,0,0,0
Isaiah SpillerI. Spiller,LAC@LV,5.00,0,0,0,0,0,0,16,50,0,0,0,0,0,0,0,0
Matt BreidaM. Breida,NYG@NO,4.00,0,0,0,0,0,0,3,10,0,0,2,11,0,0,0,0
Derrick HenryD. Henry,HOU@TEN,4.00,0,0,0,0,0,0,16,9,0,0,4,1,0,0,0,0
Kyle JuszczykK. Juszczyk,SF@ARI,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
Tyjae SpearsT. Spears,HOU@TEN,4.00,0,0,0,0,0,0,9,30,0,0,1,7,0,0,0,0
Javonte WilliamsJ. Williams,DEN@DET,4.00,0,0,0,0,0,0,12,27,0,0,2,-7,0,0,0,0
Israel AbanikandaI. Abanikanda,NYJ@MIA,3.00,0,0,0,0,0,0,4,8,0,0,2,11,0,0,0,0
Eric GrayE. Gray,NYG@NO,3.00,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0
Jaleel McLaughlinJ. McLaughlin,DEN@DET,3.00,0,0,0,0,0,0,2,2,0,0,2,16,0,0,0,0
Christopher RodriguezC. Rodriguez,WAS@LA,3.00,0,0,0,0,0,0,10,35,0,0,0,0,0,0,0,0
Miles SandersM. Sanders,ATL@CAR,3.00,0,0,0,0,0,0,6,2,0,0,2,11,0,0,0,0
Jamaal WilliamsJ. Williams,NYG@NO,3.00,0,0,0,0,0,0,8,24,0,0,1,2,0,0,0,0
Rico DowdleR. Dowdle,DAL@BUF,2.00,0,0,0,0,0,0,3,4,0,0,2,8,0,0,0,0
Kenny GainwellK. Gainwell,PHI@SEA,2.00,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0
Breece HallB. Hall,NYJ@MIA,2.00,0,0,0,0,0,0,6,12,0,0,1,6,0,0,0,0
Najee HarrisN. Harris,PIT@IND,2.00,0,0,0,0,0,0,12,33,0,0,0,0,0,0,1,0
Justice HillJ. Hill,BAL@JAX,2.00,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0
Kareem HuntK. Hunt,CHI@CLE,2.00,0,0,0,0,0,0,7,8,0,0,1,12,0,0,0,0
Joshua KelleyJ. Kelley,LAC@LV,2.00,0,0,0,0,0,0,5,22,0,0,1,6,0,0,1,0
Jordan MasonJ. Mason,SF@ARI,2.00,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0
Pierre StrongP. Strong,CHI@CLE,2.00,0,0,0,0,0,0,2,2,0,0,2,9,0,0,0,0
Patrick TaylorP. Taylor,TB@GB,2.00,0,0,0,0,0,0,1,6,0,0,2,-4,0,0,0,0
Trayveon WilliamsT. Williams,MIN@CIN,2.00,0,0,0,0,0,0,1,10,0,0,1,2,0,0,0,0
Andrew BeckA. Beck,HOU@TEN,1.00,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0
Zach CharbonnetZ. Charbonnet,PHI@SEA,1.00,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0
Dalvin CookD. Cook,NYJ@MIA,1.00,0,0,0,0,0,0,1,4,0,0,1,6,0,0,0,0
Chase EdmondsC. Edmonds,TB@GB,1.00,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0
Royce FreemanR. Freeman,WAS@LA,1.00,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0
Khalil HerbertK. Herbert,CHI@CLE,1.00,0,0,0,0,0,0,6,8,0,0,1,4,0,0,0,0
Dare OgunbowaleD. Ogunbowale,HOU@TEN,1.00,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0
Bijan RobinsonB. Robinson,ATL@CAR,1.00,0,0,0,0,0,0,7,11,0,0,1,3,0,0,1,0
Jeffery WilsonJ. Wilson,NYJ@MIA,1.00,0,0,0,0,0,0,2,5,0,0,1,1,0,0,0,0
Cartavious BigsbyC. Bigsby,BAL@JAX,0.00,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0
Kenyan DrakeK. Drake,TB@GB,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D'Onta ForemanD. Foreman,CHI@CLE,0.00,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0,0
D'Ernest JohnsonD. Johnson,BAL@JAX,0.00,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Hunter LuepkeH. Luepke,DAL@BUF,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Kene NwangwuK. Nwangwu,MIN@CIN,0.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dameon PierceD. Pierce,HOU@TEN,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Jonathan WilliamsJ. Williams,WAS@LA,0.00,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0
